City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Padang,ID,2023-01-24 22:53:16,-0.9492,100.3543,73.45,77,100,3.42
67,Sitka,US,2023-01-24 22:53:18,57.0531,-135.33,44.49,93,100,6.91
68,Bengkulu,ID,2023-01-24 22:53:18,-3.8004,102.2655,74.17,88,100,5.91
69,Glenwood Springs,US,2023-01-24 22:51:54,39.5505,-107.3248,32.34,47,100,1.99
70,Barrow,US,2023-01-24 22:51:43,71.2906,-156.7887,-9.38,77,0,23.02
71,Longyearbyen,SJ,2023-01-24 22:53:20,78.2186,15.6401,22.84,93,100,18.41
72,Port Elizabeth,ZA,2023-01-24 22:53:20,-33.918,25.5701,64.69,81,0,14.97
73,Castro,BR,2023-01-24 22:53:21,-24.7911,-50.0119,69.19,64,3,1.48
74,Bluff,NZ,2023-01-24 22:53:21,-46.6,168.3333,56.5,72,32,2.62
75,Buala,SB,2023-01-24 22:53:22,-8.145,159.5921,81.09,80,100,8.05
76,Mataura,NZ,2023-01-24 22:53:22,-46.1927,168.8643,68.25,46,22,3.11
77,Lloro,CO,2023-01-24 22:53:23,5.4961,-76.5495,84.15,94,91,2.53
78,Boa Vista,BR,2023-01-24 22:53:23,2.8197,-60.6733,80.58,54,0,8.05
79,Punta Arenas,CL,2023-01-24 22:52:45,-53.15,-70.9167,51.91,54,75,21.85
80,Naberera,TZ,2023-01-24 22:53:24,-4.2,36.9333,61.45,93,99,2.42
81,Atambua,ID,2023-01-24 22:49:29,-9.1061,124.8925,75.74,80,100,1.68
82,Alvaraes,BR,2023-01-24 22:53:25,-3.2208,-64.8042,80.47,96,98,2.13
83,Tasiilaq,GL,2023-01-24 22:53:26,65.6145,-37.6368,9.86,63,46,7.38
84,Lewisporte,CA,2023-01-24 22:53:26,49.2499,-55.0482,35.31,80,67,14.76
85,Jamestown,US,2023-01-24 22:50:52,42.097,-79.2353,31.59,74,20,11.5
86,Hilo,US,2023-01-24 22:53:27,19.7297,-155.09,81.28,77,9,7.0
87,Marsh Harbour,BS,2023-01-24 22:53:28,26.5412,-77.0636,71.91,76,98,15.3
88,Nanortalik,GL,2023-01-24 22:53:28,60.1432,-45.2371,28.83,80,100,18.21
89,Ballina,AU,2023-01-24 22:53:29,-28.8667,153.5667,80.78,62,99,0.67
90,Encruzilhada Do Sul,BR,2023-01-24 22:52:24,-30.5439,-52.5219,73.65,72,13,11.88
91,Qaanaaq,GL,2023-01-24 22:53:31,77.484,-69.3632,-8.19,61,23,8.63
92,Faanui,PF,2023-01-24 22:53:32,-16.4833,-151.75,81.86,73,99,14.92
93,Palora,EC,2023-01-24 22:53:32,-1.7,-77.9333,69.91,85,81,0.76
94,Champasak,LA,2023-01-24 22:53:32,14.75,106.0,56.39,82,61,2.1
95,East London,ZA,2023-01-24 22:53:33,-33.0153,27.9116,68.2,88,98,16.89
96,Inirida,CO,2023-01-24 22:53:33,3.8653,-67.9239,75.67,88,100,1.39
97,Tezu,IN,2023-01-24 22:54:34,27.9167,96.1667,57.85,35,2,3.78
98,Khatanga,RU,2023-01-24 22:54:34,71.9667,102.5,-37.16,94,92,3.53
99,Atuona,PF,2023-01-24 22:54:34,-9.8,-139.0333,78.85,76,2,17.87
100,Ambilobe,MG,2023-01-24 22:54:28,-13.2,49.05,72.0,96,100,0.98
